Kraje
1.0
id|id_nadrz|kod|nazwa|opis|kolejnosc|aktywny
124||2|AFGANISTAN|1999-05-13 11:57:37|0|1
126||2|ALBANIA|1999-05-13 11:57:37|0|1
55||2|ALGIERIA|1999-05-13 11:57:37|0|1
127||2|ANDORA|1999-05-13 11:57:37|0|1
125||2|ANGOLA|1999-05-13 11:57:37|0|1
6766||2|ANGUILLA|2002-12-12 00:00:00|0|1
86||2|ANTARKTYDA|1999-05-13 11:57:37|0|1
76||2|ANTIGUA I BARBUDA|1999-05-13 11:57:37|0|1
6767||2|ANTYLE HOLENDERSKIE|2002-12-12 00:00:00|0|1
4479||2|ARABIA SAUDYJSKA|2000-01-01 00:00:00|0|1
123||2|ARGENTYNA|1999-05-13 11:57:37|0|1
74||2|ARMENIA|1999-05-13 11:57:37|0|1
6768||2|ARUBA|2002-12-12 00:00:00|0|1
75||2|AUSTRALIA|1999-05-13 11:57:37|0|1
77||2|AUSTRIA|1999-05-13 11:57:37|0|1
78||2|AZERBEJD¯AN|1999-05-13 11:57:37|0|1
85||2|BAHAMY|1999-05-13 11:57:37|0|1
91||2|BAHRJAN|1999-05-13 11:57:37|0|1
81||2|BANGLADESZ|1999-05-13 11:57:37|0|1
80||2|BARBADOS|1999-05-13 11:57:37|0|1
83||2|BELGIA|1999-05-13 11:57:37|0|1
6769||2|BELIZE|2002-12-12 00:00:00|0|1
6764||2|BENIN (DAHOMEJ)|2002-12-12 00:00:00|0|1
88||2|BERMUDY|1999-05-13 11:57:37|0|1
92||2|BHUTAN|1999-05-13 11:57:37|0|1
87||2|BIA£ORU¦|1999-05-13 11:57:37|0|1
93||2|BIRMA (MYANMAR)|1999-05-13 11:57:37|0|1
216||2|BO¦NIA,HERCEGOWINA|1999-05-13 11:57:36|0|1
90||2|BOLIWIA|1999-05-13 11:57:37|0|1
94||2|BOTSWANA|1999-05-13 11:57:37|0|1
79||2|BRAZYLIA|1999-05-13 11:57:37|0|1
89||2|BRUNEI|1999-05-13 11:57:37|0|1
6770||2|BRYTYJSKIE TERYTORIUM OCEANU INDYJSKIEGO|2002-12-12 00:00:00|0|1
84||2|BU£GARIA|1999-05-13 11:57:37|0|1
6763||2|BURKINA FASO (GÓRNA WOLTA)|2002-10-24 00:00:00|0|1
82||2|BURUNDI|1999-05-13 11:57:37|0|1
99||2|CHILE|1999-05-13 11:57:37|0|1
47||2|CHINY|1999-05-13 11:57:37|0|1
217||2|CHORWACJA|1999-05-13 11:57:36|0|1
49||2|CYPR|1999-05-13 11:57:37|0|1
6771||2|CZAD|2002-12-12 00:00:00|0|1
51||2|CZECHOS£OWACJA|1999-05-13 11:57:37|0|1
54||2|CZECHY|1999-05-13 11:57:37|0|1
58||2|DANIA|1999-05-13 11:57:37|0|1
222||2|DEMOKRATYCZNA REPUBLIKA KONGA (ZAIR)|1999-05-13 11:57:36|0|1
57||2|DOMINIKA|1999-05-13 11:57:37|0|1
59||2|DOMINIKANA|1999-05-13 11:57:37|0|1
6772||2|D¯IBUTI|2002-12-12 00:00:00|0|1
61||2|EGIPT|1999-05-13 11:57:37|0|1
60||2|EKWADOR|1999-05-13 11:57:37|0|1
4505||2|ERYTREA|2001-08-24 00:00:00|0|1
64||2|ESTONIA|1999-05-13 11:57:38|0|1
62||2|ETIOPIA|1999-05-13 11:57:37|0|1
